,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
124,Honda City -,PLATINUM,Pune,1539299,9811, Petrol , 2nd Owner,2020,Honda
125,Hyundai i20 Active,PLATINUM,Pune,561499,43538, Petrol , 2nd Owner,2015,Hyundai
126,Hyundai Creta -,PLATINUM,Pune,1042699,66400, Petrol , 2nd Owner,2017,Hyundai
127,Maruti Suzuki S,PLATINUM,Pune,1032099,59341, Diesel , 2nd Owner,2017,Maruti
128,Hyundai Creta -,PLATINUM,Pune,903499,56246, Petrol , 2nd Owner,2016,Hyundai
129,Honda Amaze -,PLATINUM,Pune,472499,35944, Petrol , 2nd Owner,2014,Honda
130,Honda WR V,PLATINUM,Pune,771299,17699, Petrol , 2nd Owner,2018,Honda
131,Maruti Suzuki Wagon,PLATINUM,Pune,447099,41065, Petrol , 2nd Owner,2017,Maruti
132,Renault Kwid -,PLATINUM,Pune,504599,2311, Petrol , 2nd Owner,2019,Renault
133,Hyundai Grand i10,PLATINUM,Pune,620999,2991, Petrol , 2nd Owner,2018,Hyundai
134,Hyundai Grand i10,PLATINUM,Pune,433999,29762, Petrol , 2nd Owner,2015,Hyundai
135,Skoda Rapid -,PLATINUM,Pune,627499,91917, Diesel , 2nd Owner,2016,Skoda
144,Renault Kwid -,PLATINUM,Pune,504599,2311, Petrol , 2nd Owner,2019,Renault
145,Maruti Suzuki Dzire,PLATINUM,Pune,704199,30771, Petrol , 2nd Owner,2018,Maruti
146,Hyundai Santro Sportz,PLATINUM,Pune,513099,29488, Petrol , 2nd Owner,2018,Hyundai
147,Renault Kwid -,PLATINUM,Pune,469399,36559, Petrol , 2nd Owner,2019,Renault
148,Honda WR V,PLATINUM,Pune,844199,38242, Diesel , 2nd Owner,2018,Honda
149,Maruti Suzuki Ignis,PLATINUM,Pune,544799,66426, Petrol , 1st Owner,2017,Maruti
150,Volkswagen Polo -,PLATINUM,Pune,710899,16950, Petrol , 2nd Owner,2018,Volkswagen
151,Maruti Suzuki Baleno,PLATINUM,Pune,580599,18866, Petrol , 2nd Owner,2016,Maruti
152,Maruti Suzuki Swift,PLATINUM,Pune,638499,53245, Diesel , 1st Owner,2017,Maruti
153,Hyundai Verna -,PLATINUM,Pune,654699,44543, Petrol , 1st Owner,2016,Hyundai
154,Maruti Suzuki S,PLATINUM,Pune,894199,50128, Diesel , 1st Owner,2018,Maruti
155,Maruti Suzuki S,PLATINUM,Pune,858599,56349, Diesel , 2nd Owner,2018,Maruti
156,Maruti Suzuki S,PLATINUM,Pune,992199,69524, Diesel , 2nd Owner,2017,Maruti
157,Volkswagen Polo -,PLATINUM,Pune,714999,41218, Petrol , 1st Owner,2017,Volkswagen
158,Maruti Suzuki Baleno,PLATINUM,Pune,765599,9085, Petrol , 1st Owner,2020,Maruti
159,MG Motors Hector,PLATINUM,Bangalore,1800299,11292, Diesel , 2nd Owner,2019,MG
160,Mercedes Benz C,GOLD,Mumbai,1190000,75000, Diesel , 2nd Owner,2011,Mercedes
165,Maruti Suzuki Ertiga,GOLD,Delhi,600000,48600, Diesel , 1st Owner,2015,Maruti
166,Maruti Suzuki Alto,GOLD,Delhi,336000,3600, Petrol , 1st Owner,2019,Maruti
168,Maruti Suzuki Dzire,PLATINUM,Pune,680699,29594, Petrol , 2nd Owner,2019,Maruti
169,Honda City VX,PLATINUM,Pune,714899,55953, Petrol , 1st Owner,2015,Honda
170,Maruti Suzuki Alto,PLATINUM,Pune,316799,16980, Petrol , 1st Owner,2016,Maruti
171,Ford Ecosport -,PLATINUM,Pune,675099,41828, Diesel , 2nd Owner,2016,Ford
172,Maruti Suzuki S,PLATINUM,Pune,1057399,64803, Diesel , 2nd Owner,2018,Maruti
173,Maruti Suzuki Ertiga,PLATINUM,Pune,938099,44460, Diesel , 2nd Owner,2018,Maruti
174,Tata Nexon -,PLATINUM,Pune,1057699,14276, Diesel , 2nd Owner,2018,Tata
175,Maruti Suzuki Wagon,PLATINUM,Pune,610099,23425, Petrol , 2nd Owner,2019,Maruti
176,Maruti Suzuki Alto,PLATINUM,Pune,452199,23056, Petrol , 2nd Owner,2018,Maruti
177,Hyundai Elite i20,PLATINUM,Pune,712699,16102, Petrol , 2nd Owner,2019,Hyundai
178,Maruti Suzuki Vitara,PLATINUM,Pune,838699,56615, Diesel , 1st Owner,2019,Maruti
179,Mahindra TUV300 -,PLATINUM,Pune,666899,70317, Diesel , 1st Owner,2015,Mahindra
180,MG Motors Hector,PLATINUM,Bangalore,1681899,6760, Petrol , 2nd Owner,2020,MG
181,MG Motors Hector,PLATINUM,Chennai,1854599,8870, Petrol , 2nd Owner,2020,MG
182,Maruti Suzuki Baleno,PLATINUM,Pune,571499,78209, Petrol , 1st Owner,2016,Maruti
183,Volkswagen Vento -,PLATINUM,Pune,589199,64292, Petrol , 2nd Owner,2015,Volkswagen
188,Toyota Fortuner 3.0,GOLD,Chandigarh,1231000,117000, Diesel , 2nd Owner,2012,Toyota
190,Hyundai i20 Magna,GOLD,Bangalore,320000,89450, Diesel , 2nd Owner,2011,Hyundai
192,Maruti Suzuki Alto,PLATINUM,Pune,351699,58771, Petrol , 2nd Owner,2015,Maruti
193,Maruti Suzuki Alto,PLATINUM,Pune,299199,53266, Petrol , 2nd Owner,2016,Maruti
194,Honda Amaze -,PLATINUM,Pune,657199,9200, Petrol , 2nd Owner,2019,Honda
195,Ford Ecosport -,PLATINUM,Pune,539299,61721, Petrol , 2nd Owner,2014,Ford
196,Hyundai Grand i10,PLATINUM,Pune,608399,18333, Petrol , 2nd Owner,2017,Hyundai
197,Ford Ecosport -,PLATINUM,Pune,1042799,51780, Petrol , 2nd Owner,2019,Ford
198,Maruti Suzuki Baleno,PLATINUM,Pune,645199,30854, Petrol , 2nd Owner,2018,Maruti
199,Ford Ecosport -,PLATINUM,Pune,811899,24680, Petrol , 2nd Owner,2017,Ford
200,Volkswagen Vento -,PLATINUM,Pune,557799,85663, Petrol , 1st Owner,2015,Volkswagen
201,Mahindra Bolero -,PLATINUM,Pune,873999,20541, Diesel , 2nd Owner,2021,Mahindra
202,Hyundai i20 Magna,PLATINUM,Pune,278299,64182, Petrol , 1st Owner,2010,Hyundai
203,Maruti Suzuki S,PLATINUM,Pune,986399,58819, Diesel , 2nd Owner,2017,Maruti
204,Maruti Suzuki Wagon,PLATINUM,Pune,610099,32057, Petrol , 2nd Owner,2019,Maruti
205,Jeep Compass -,PLATINUM,Pune,1749899,18403, Petrol , 2nd Owner,2018,Jeep
206,Maruti Suzuki Alto,PLATINUM,Pune,443899,7877, Petrol , 2nd Owner,2018,Maruti
207,Hyundai Verna 1.6,PLATINUM,Pune,936299,15509, Petrol , 2nd Owner,2018,Hyundai
216,Maruti Suzuki Baleno,PLATINUM,Pune,580599,48329, Petrol , 1st Owner,2016,Maruti
217,Renault Kwid RXT,PLATINUM,Pune,404499,21301, Petrol , 2nd Owner,2019,Renault
